"month","value"
"2014-01","86.26587"
"2014-02","86.2675"
"2014-03","86.497143"
"2014-04","86.759773"
"2014-05","87.460455"
"2014-06","87.620476"
"2014-07","87.785217"
"2014-08","88.167143"
"2014-09","88.884091"
"2014-10","89.215652"
"2014-11","89.98"
"2014-12","90.473478"
"2015-01","91.335909"
"2015-02","91.5"
"2015-03","91.787727"
"2015-04","93.433182"
"2015-05","96.37381"
"2015-06","97.760909"
"2015-07","101.307609"
"2015-08","102.501602"
"2015-09","105.273017"
"2015-10","102.625455"
"2015-11","102.19619"
"2015-12","102.21"
"2016-01","102.338333"
"2016-02","101.928095"
"2016-03","101.512174"
"2016-04","101.27619"
"2016-05","100.736364"
"2016-06","101.168636"
"2016-07","101.360238"
"2016-08","101.416522"
"2016-09","101.293636"
"2016-10","101.355455"
"2016-11","101.769339"
"2016-12","102.255682"
"2017-01","103.818864"
"2017-02","103.584"
"2017-03","102.84087"
"2017-04","103.3165"
"2017-05","103.284565"
"2017-06","103.496364"
"2017-07","103.860476"
"2017-08","103.550435"
"2017-09","103.120714"
"2017-10","103.482955"
"2017-11","103.509545"
"2017-12","103.077449"
"2018-01","102.553677"
"2018-02","101.38845"
"2018-03","101.191667"
"2018-04","100.594206"
"2018-05","100.681522"
"2018-06","100.99881"
"2018-07","100.657045"
"2018-08","100.622609"
"2018-09","100.846"
"2018-10","101.110217"
"2018-11","102.418182"
"2018-12","102.219048"
"2019-01","101.572826"
"2019-02","100.19825"
"2019-03","100.422143"
"2019-04","101.105227"
"2019-05","101.15"
"2019-06","101.72025"
"2019-07","103.26587"
"2019-08","103.341591"
"2019-09","103.797857"
"2019-10","103.67413"
"2019-11","102.354762"
"2019-12","101.473485"
"2020-01","101.061667"
"2020-02","100.8465"
"2020-03","104.164545"
"2020-04","106.415909"
"2020-05","106.758571"
"2020-06","106.435682"
"2020-07","107.291957"
"2020-08","108.164524"
"2020-09","108.439773"
"2020-10","108.725682"
"2020-11","109.290238"
"2020-12","110.483043"
"2021-01","109.804286"
"2021-02","109.649"
"2021-03","109.720435"
"2021-04","107.975455"
"2021-05","107.387381"
"2021-06","107.805909"
