"month","value"
"2014-01","7.304423"
"2014-02","6.9"
"2014-03","6.29172"
"2014-04","6.330548"
"2014-05","7.16004"
"2014-06","7.258405"
"2014-07","7.631027"
"2014-08","8.289291"
"2014-09","6.612022"
"2014-10","6.494747"
"2014-11","6.252549"
"2014-12","6.2026"
"2015-01","5.652524"
"2015-02","5.612722"
"2015-03","6.280064"
"2015-04","6.979222"
"2015-05","6.602403"
"2015-06","6.859016"
"2015-07","6.570575"
"2015-08","5.779604"
"2015-09","5.996925"
"2015-10","6.867393"
"2015-11","7.547653"
"2015-12","8.224943"
"2016-01","7.980684"
"2016-02","7.085917"
"2016-03","6.361579"
"2016-04","5.01743"
"2016-05","4.6575"
"2016-06","5.633284"
"2016-07","6.348239"
"2016-08","6.289461"
"2016-09","6.455513"
"2016-10","6.665867"
"2016-11","6.922802"
"2016-12","6.539413"
"2017-01","7.12016"
"2017-02","9.015715"
"2017-03","10.153664"
"2017-04","11.155898"
"2017-05","11.303113"
"2017-06","9.027536"
"2017-07","7.447296"
"2017-08","8.190541"
"2017-09","7.256416"
"2017-10","5.957064"
"2017-11","4.93937"
"2017-12","4.64499"
"2018-01","4.932982"
"2018-02","4.378929"
"2018-03","4.088422"
"2018-04","3.370307"
"2018-05","3.63675"
"2018-06","4.177323"
"2018-07","4.307955"
"2018-08","4.255094"
"2018-09","5.929063"
"2018-10","5.71762"
"2018-11","5.735185"
"2018-12","5.791587"
"2019-01","4.680138"
"2019-02","4.03946"
"2019-03","4.350515"
"2019-04","6.252579"
"2019-05","5.30474"
"2019-06","5.636252"
"2019-07","6.246166"
"2019-08","5.215718"
"2019-09","4.007996"
"2019-10","5.04716"
"2019-11","5.624624"
"2019-12","5.824176"
"2020-01","6.761352"
"2020-02","7.106498"
"2020-03","5.907923"
"2020-04","5.748689"
"2020-05","5.261619"
"2020-06","4.551177"
"2020-07","4.272106"
"2020-08","4.543267"
"2020-09","4.362868"
"2020-10","4.871525"
"2020-11","5.344091"
"2020-12","5.588596"
"2021-01","5.611767"
"2021-02","5.73106"
"2021-03","6.026119"
"2021-04","5.610652"
"2021-05","5.915024"
"2021-06","6.279522"
